token	label	f_x	f_y	f_xy	pmi	pmi_freq
Opposition	9	211	13	3	3.7007752424700806	9.492301080283196
mal	9	211	22	2	2.769217038465137	8.559767428458928
trotz	9	211	15	2	3.152209290721243	8.536341003653918
nennen	9	211	27	2	2.564422625819124	8.451918630190294
einsetzen	9	211	34	2	2.3338989672072916	8.230169186402222
Ende	9	211	37	2	2.249341579179229	8.122187799913725
Name	9	211	9	2	3.6630349144872336	8.048510341752028
lang	9	211	40	2	2.171380037709517	8.009959208179781
Vorratsdatenspeicherung	9	211	5	4	4.943968759949298	7.9570107601522055
Erdoğan	9	211	8	2	3.780817950143617	7.861989907057439
konkret	9	211	7	2	3.9143493427681397	7.616972113040518
sofortig	9	211	6	2	4.068500022595398	7.289773441039859
kritisieren	9	211	69	2	1.6261529872261937	6.885304940684692
dennoch	9	211	13	1	2.602162953801971	6.6744161963645805
Flüchtlingszahl	9	211	14	1	2.528054981648249	6.671682028989179
heftig	9	211	12	1	2.6822056614755074	6.66503068429951
erwarten	9	211	12	1	2.6822056614755074	6.66503068429951
Kraft	9	211	12	1	2.6822056614755074	6.66503068429951
Mitarbeiter	9	211	12	1	2.6822056614755074	6.66503068429951
Finanzminister	9	211	15	1	2.4590621101612977	6.659263641945127
Leute	9	211	15	1	2.4590621101612977	6.659263641945127
Demonstrant	9	211	11	1	2.769217038465137	6.640292445888256
Landesregierung	9	211	11	1	2.769217038465137	6.640292445888256
Maas	9	211	16	1	2.3945235890237266	6.639029098064309
versprechen	9	211	16	1	2.3945235890237266	6.639029098064309
Islam	9	211	16	1	2.3945235890237266	6.639029098064309
ermöglichen	9	211	17	1	2.3338989672072916	6.61243369757072
Kurs	9	211	17	1	2.3338989672072916	6.61243369757072
ehrenamtlich	9	211	10	1	2.8645272182694623	6.5958176712629655
Konflikt	9	211	10	1	2.8645272182694623	6.5958176712629655
Nein	9	211	10	1	2.8645272182694623	6.5958176712629655
Signal	9	211	18	1	2.276740553367343	6.580626595509853
eigentlich	9	211	9	1	2.969887733927288	6.5255103209144085
Köln	9	211	9	1	2.969887733927288	6.5255103209144085
Reform	9	211	9	1	2.969887733927288	6.5255103209144085
Verfassung	9	211	9	1	2.969887733927288	6.5255103209144085
entschieden	9	211	9	1	2.969887733927288	6.5255103209144085
Linkspartei	9	211	9	1	2.969887733927288	6.5255103209144085
Schäuble	9	211	20	1	2.171380037709517	6.504873257117281
ja	9	211	20	1	2.171380037709517	6.504873257117281
stattdessen	9	211	20	1	2.171380037709517	6.504873257117281
letzter	9	211	21	1	2.1225898735400848	6.462272496077311
Protest	9	211	21	1	2.1225898735400848	6.462272496077311
beide	9	211	21	1	2.1225898735400848	6.462272496077311
staatlich	9	211	8	1	3.087670769583672	6.420630865302836
Entwurf	9	211	8	1	3.087670769583672	6.420630865302836
fünf	9	211	8	1	3.087670769583672	6.420630865302836
Richter	9	211	8	1	3.087670769583672	6.420630865302836
System	9	211	8	1	3.087670769583672	6.420630865302836
spielen	9	211	8	1	3.087670769583672	6.420630865302836
ebenfalls	9	211	23	1	2.031618095334358	6.370126786897876
darauf	9	211	24	1	1.9890584809155623	6.321334924059769
rund	9	211	24	1	1.9890584809155623	6.321334924059769
einrichten	9	211	25	1	1.948236486395307	6.271131327184019
hoch	9	211	25	1	1.948236486395307	6.271131327184019
Stopp	9	211	7	1	3.2212021622081943	6.268169979599845
Eindruck	9	211	7	1	3.2212021622081943	6.268169979599845
Infrage	9	211	7	1	3.2212021622081943	6.268169979599845
Fraktion	9	211	7	1	3.2212021622081943	6.268169979599845
Bundesebene	9	211	7	1	3.2212021622081943	6.268169979599845
Union	9	211	86	2	1.4059121955699454	6.262421187106819
Aufgabe	9	211	26	1	1.9090157732420259	6.219757681828248
Mittel	9	211	26	1	1.9090157732420259	6.219757681828248
nächster	9	211	27	1	1.8712754452591787	6.167418598933867
Tag	9	211	28	1	1.8349078010883038	6.114288050542111
mehrere	9	211	28	1	1.8349078010883038	6.114288050542111
Brüssel	9	211	28	1	1.8349078010883038	6.114288050542111
Hürde	9	211	6	1	3.375352842035453	6.04782041670285
taz	9	211	6	1	3.375352842035453	6.04782041670285
Wiedereinführung	9	211	6	1	3.375352842035453	6.04782041670285
vermeiden	9	211	6	1	3.375352842035453	6.04782041670285
pochen	9	211	6	1	3.375352842035453	6.04782041670285
Brandenburg	9	211	6	1	3.375352842035453	6.04782041670285
schlagen	9	211	31	1	1.7331251067783615	5.951529440448846
dafür	9	211	96	2	1.2959113003556169	5.9149904000808915
sogar	9	211	32	1	1.7013764084637812	5.896521302989379
verlangen	9	211	32	1	1.7013764084637812	5.896521302989379
Kritik	9	211	33	1	1.6706047497970276	5.841282139887124
warnen	9	211	34	1	1.6407517866473464	5.785882331126641
Rettung	9	211	5	1	3.5576743988294073	5.725856057572244
Änderung	9	211	5	1	3.5576743988294073	5.725856057572244
möchten	9	211	36	1	1.5835933728073976	5.674836842268896
geplant	9	211	36	1	1.5835933728073976	5.674836842268896
Koalition	9	211	37	1	1.5561943986192834	5.619290229530977
kommen	9	211	108	2	1.1781282646992335	5.51615113770595
politisch	9	211	40	1	1.4782328571495715	5.453022815135196
Bundesregierung	9	211	113	2	1.1328716731111126	5.355523747629743
außerdem	9	211	42	1	1.4294426929801394	5.342784524629027
Pegida	9	211	42	1	1.4294426929801394	5.342784524629027
geben	9	211	128	2	1.008229227903836	4.891958726757721
Monat	9	211	53	1	1.1968203977113858	4.751726347007749
Woche	9	211	53	1	1.1968203977113858	4.751726347007749
lehnen	9	211	57	1	1.1240610434289577	4.544636426758875
Vorschlag	9	211	58	1	1.1066693007170885	4.493567627082995
Gesetz	9	211	58	1	1.1066693007170885	4.493567627082995
setzen	9	211	59	1	1.0895748673577883	4.442782319589989
klar	9	211	60	1	1.0727677490414071	4.3922807998149285
fordern	9	211	333	4	0.7452641824029547	4.328600564075137
Berlin	9	211	62	1	1.0399779262184161	4.292128658983913
aufnehmen	9	211	66	1	0.9774575692370823	4.095209740083765
deshalb	9	211	68	1	0.947604606087401	3.9984249368461584
Kanzlerin	9	211	68	1	0.947604606087401	3.9984249368461584
Angela	9	211	69	1	0.9330058066662484	3.950445954832576
Merkel	9	211	172	2	0.7127650150100002	3.6689539780298337
Türkei	9	211	76	1	0.8363789709771767	3.622134294725233
ab	9	211	87	1	0.7012041926089241	3.1315134966068263
dürfen	9	211	93	1	0.6345128181102518	2.875992477765772
CSU	9	211	96	1	0.6027641197956716	2.7512253200710757
sollen	9	211	463	4	0.4156796182971644	2.551328039054745
grüne	9	211	101	1	0.5519917944222483	2.547508655566141
deutsch	9	211	118	1	0.39642768679784307	1.8912314701189603
müssen	9	211	272	2	0.25445742552745576	1.4264379618061716
neu	9	211	134	1	0.26927251131259644	1.3188536229395669
CDU	9	211	137	1	0.24713138543538296	1.2158817025155626
SPD	9	211	149	1	0.16316600531804867	0.8164739295671268
Asylbeschluss	9	211	2	1	4.473965130703562	0.0
Waffenlieferung	9	211	1	1	5.167112311263508	0.0
fähig	9	211	1	1	5.167112311263508	0.0
gefährdet	9	211	1	1	5.167112311263508	0.0
Jubiläum	9	211	2	1	4.473965130703562	0.0
No-TTIP-Camp	9	211	1	1	5.167112311263508	0.0
arm	9	211	4	1	3.780817950143617	0.0
spätestens	9	211	4	1	3.780817950143617	0.0
verschwinden	9	211	4	1	3.780817950143617	0.0
schwarz-rot	9	211	2	1	4.473965130703562	0.0
hässlich	9	211	4	1	3.780817950143617	0.0
Rüstungsexport	9	211	1	1	5.167112311263508	0.0
herzlos	9	211	2	1	4.473965130703562	0.0
Fleck	9	211	2	1	4.473965130703562	0.0
protegieren	9	211	1	1	5.167112311263508	0.0
hoffen	9	211	4	1	3.780817950143617	0.0
Befriedung	9	211	1	1	5.167112311263508	0.0
Schwesterpartei	9	211	2	1	4.473965130703562	0.0
TTIP	9	211	1	1	5.167112311263508	0.0
Therapie	9	211	1	1	5.167112311263508	0.0
Speicherung	9	211	1	1	5.167112311263508	0.0
SPD-Minister	9	211	1	1	5.167112311263508	0.0
rechtlich	9	211	3	1	4.068500022595398	0.0
PARLAMENT	9	211	1	1	5.167112311263508	0.0
Entzug	9	211	2	1	4.473965130703562	0.0
bissch	9	211	1	1	5.167112311263508	0.0
Welthungerhilfe	9	211	1	1	5.167112311263508	0.0
indessen	9	211	2	1	4.473965130703562	0.0
Sachse	9	211	2	1	4.473965130703562	0.0
rigoros	9	211	4	1	3.780817950143617	0.0
Freihandelsabkommen	9	211	1	1	5.167112311263508	0.0
Leiharbeit	9	211	3	1	4.068500022595398	0.0
schonend	9	211	2	1	4.473965130703562	0.0
Steuererhöhung	9	211	2	1	4.473965130703562	0.0
verfallen	9	211	2	1	4.473965130703562	0.0
Aktionismus	9	211	1	1	5.167112311263508	0.0
hektisch	9	211	1	1	5.167112311263508	0.0
Strafrecht	9	211	1	1	5.167112311263508	0.0
Landesgruppenklausur	9	211	1	1	5.167112311263508	0.0
nämlich	9	211	4	1	3.780817950143617	0.0
Telefon	9	211	1	1	5.167112311263508	0.0
E-Mail-	9	211	1	1	5.167112311263508	0.0
Internetverbindungsdat	9	211	1	1	5.167112311263508	0.0
Nutzer	9	211	1	1	5.167112311263508	0.0
transatlantisch	9	211	1	1	5.167112311263508	0.0
verwenden	9	211	2	1	4.473965130703562	0.0
Kitas	9	211	1	1	5.167112311263508	0.0
gedacht	9	211	1	1	5.167112311263508	0.0
Betreuungsgeld	9	211	1	1	5.167112311263508	0.0
Rot-Rot	9	211	1	1	5.167112311263508	0.0
lieber	9	211	4	1	3.780817950143617	0.0
Bedeutung	9	211	2	1	4.473965130703562	0.0
untergeordnet	9	211	1	1	5.167112311263508	0.0
meister	9	211	4	1	3.780817950143617	0.0
Abendlande	9	211	4	1	3.780817950143617	0.0
Pegida-Leut	9	211	1	1	5.167112311263508	0.0
unterbreitet	9	211	1	1	5.167112311263508	0.0
Etat	9	211	2	1	4.473965130703562	0.0
Kredit	9	211	2	1	4.473965130703562	0.0
auslagern	9	211	1	1	5.167112311263508	0.0
fundamental	9	211	3	1	4.068500022595398	0.0
aufpassen	9	211	1	1	5.167112311263508	0.0
Terror	9	211	4	1	3.780817950143617	0.0
Verdacht	9	211	1	1	5.167112311263508	0.0
ansehen	9	211	1	1	5.167112311263508	0.0
Mensch	9	211	182	1	-0.036894375813287555	-0.1919985784478728
Land	9	211	215	1	-0.20352571686415497	-1.093062954692574
